place,year,perDiff,distance,discipline
3,2016,12.27,42200,run
4,2016,12.07,42200,run
5,2016,12.07,42200,run
6,2016,12.99,42200,run
7,2016,13.36,42200,run
8,2016,13.98,42200,run
1,1968,22.85,highJump,jump
2,1968,22.85,highJump,jump
3,1968,24.21,highJump,jump
4,1968,23.34,highJump,jump
5,1968,21.99,highJump,jump
6,1968,21.99,highJump,jump
1,1972,20.36,highJump,jump
2,1972,20.36,highJump,jump
3,1972,22.62,highJump,jump
4,1972,21.4,highJump,jump
5,1972,22.79,highJump,jump
6,1972,22.79,highJump,jump
7,1972,20.95,highJump,jump
8,1972,21.9,highJump,jump
1,1976,18.42,highJump,jump
2,1976,18.22,highJump,jump
3,1976,19.56,highJump,jump
4,1976,21.52,highJump,jump
5,1976,20.81,highJump,jump
6,1976,22.02,highJump,jump
7,1976,22.02,highJump,jump
8,1976,22.02,highJump,jump
1,1980,17.7,highJump,jump
2,1980,16.59,highJump,jump
3,1980,17.94,highJump,jump
4,1980,16.82,highJump,jump
5,1980,18.18,highJump,jump
6,1980,18.18,highJump,jump
7,1980,18.18,highJump,jump
8,1980,19.55,highJump,jump
1,1984,17.95,highJump,jump
2,1984,18.18,highJump,jump
3,1984,17.11,highJump,jump
4,1984,18.42,highJump,jump
5,1984,18.42,highJump,jump
6,1984,17.33,highJump,jump
7,1984,18.67,highJump,jump
8,1984,20,highJump,jump
1,1988,14.96,highJump,jump
2,1988,15.52,highJump,jump
3,1988,15.52,highJump,jump
4,1988,17.03,highJump,jump
5,1988,17.03,highJump,jump
6,1988,17.03,highJump,jump
7,1988,17.26,highJump,jump
8,1988,17.26,highJump,jump
1,1992,18.3,highJump,jump
2,1992,19.57,highJump,jump
3,1992,18.53,highJump,jump
4,1992,18.53,highJump,jump
5,1992,16.37,highJump,jump
6,1992,16.37,highJump,jump
7,1992,17.7,highJump,jump
8,1992,17.7,highJump,jump
1,1996,15.22,highJump,jump
2,1996,15.22,highJump,jump
3,1996,16.52,highJump,jump
4,1996,16.52,highJump,jump
5,1996,16.74,highJump,jump
6,1996,16.74,highJump,jump
7,1996,15.63,highJump,jump
8,1996,15.63,highJump,jump
1,2000,16.81,highJump,jump
2,2000,14.98,highJump,jump
3,2000,16.3,highJump,jump
4,2000,16.3,highJump,jump
5,2000,16.67,highJump,jump
6,2000,16.67,highJump,jump
7,2000,18.92,highJump,jump
8,2000,18.92,highJump,jump
1,2004,15.02,highJump,jump
2,2004,15.22,highJump,jump
3,2004,14.1,highJump,jump
4,2004,16.74,highJump,jump
5,2004,18.94,highJump,jump
6,2004,17.86,highJump,jump
7,2004,17.86,highJump,jump
8,2004,17.86,highJump,jump
1,2008,15.22,highJump,jump
2,2008,14.98,highJump,jump
3,2008,15.86,highJump,jump
4,2008,15.86,highJump,jump
5,2008,16.74,highJump,jump
6,2008,15.63,highJump,jump
7,2008,17.86,highJump,jump
8,2008,17.86,highJump,jump
1,2012,11.84,highJump,jump
2,2012,11.84,highJump,jump
3,2012,14.47,highJump,jump
4,2012,15.79,highJump,jump
5,2012,16,highJump,jump
6,2012,18.22,highJump,jump
7,2012,14.42,highJump,jump
8,2012,14.42,highJump,jump
1,2016,12.23,highJump,jump
2,2016,12.83,highJump,jump
3,2016,12.67,highJump,jump
4,2016,13.57,highJump,jump
5,2016,14.48,highJump,jump
6,2016,14.48,highJump,jump
7,2016,16.74,highJump,jump
8,2016,14.81,highJump,jump
1,1968,23.48,longJump,jump
2,1968,22.52,longJump,jump
3,1968,28.55,longJump,jump
4,1968,28.68,longJump,jump
5,1968,28.04,longJump,jump
6,1968,27.94,longJump,jump
7,1968,27.84,longJump,jump
8,1968,29.79,longJump,jump
1,1972,23.63,longJump,jump
2,1972,23.57,longJump,jump
3,1972,26.68,longJump,jump
4,1972,27.66,longJump,jump
5,1972,28.48,longJump,jump
6,1972,28.34,longJump,jump
7,1972,29.12,longJump,jump
8,1972,28.7,longJump,jump
1,1976,19,longJump,jump
2,1976,19.98,longJump,jump
3,1976,19.93,longJump,jump
4,1976,20.42,longJump,jump
5,1976,20.48,longJump,jump
6,1976,20.38,longJump,jump
7,1976,22,longJump,jump
8,1976,24.24,longJump,jump
1,1980,15.46,longJump,jump
2,1980,15.61,longJump,jump
3,1980,17.69,longJump,jump
4,1980,19.32,longJump,jump
5,1980,19.47,longJump,jump
6,1980,19.49,longJump,jump
7,1980,19.08,longJump,jump
8,1980,20.1,longJump,jump
1,1984,20.9,longJump,jump
2,1984,19.39,longJump,jump
3,1984,19.51,longJump,jump
4,1984,20.44,longJump,jump
5,1984,21.16,longJump,jump
6,1984,20.68,longJump,jump
7,1984,21.54,longJump,jump
8,1984,20.74,longJump,jump
1,1988,14.95,longJump,jump
2,1988,21.28,longJump,jump
3,1988,17.7,longJump,jump
4,1988,17.21,longJump,jump
5,1988,19.93,longJump,jump
6,1988,18.54,longJump,jump
7,1988,18.16,longJump,jump
8,1988,20.02,longJump,jump
1,1992,17.87,longJump,jump
2,1992,18.99,longJump,jump
3,1992,19.25,longJump,jump
4,1992,19.11,longJump,jump
5,1992,19,longJump,jump
6,1992,19.17,longJump,jump
7,1992,18.96,longJump,jump
8,1992,19.59,longJump,jump
1,1996,16.09,longJump,jump
2,1996,16.91,longJump,jump
3,1996,17.11,longJump,jump
4,1996,18.38,longJump,jump
5,1996,18.89,longJump,jump
6,1996,18.73,longJump,jump
7,1996,17.57,longJump,jump
8,1996,17.06,longJump,jump
1,2000,15.63,longJump,jump
2,2000,14.37,longJump,jump
3,2000,15.29,longJump,jump
4,2000,15.24,longJump,jump
5,2000,16.79,longJump,jump
6,2000,16.73,longJump,jump
7,2000,17.31,longJump,jump
8,2000,18.74,longJump,jump
1,2004,14.13,longJump,jump
2,2004,15.68,longJump,jump
3,2004,18.59,longJump,jump
4,2004,17.07,longJump,jump
5,2004,17.43,longJump,jump
6,2004,17.47,longJump,jump
7,2004,17.73,longJump,jump
8,2004,16.62,longJump,jump
1,2008,16.87,longJump,jump
2,2008,17.11,longJump,jump
3,2008,18.25,longJump,jump
4,2008,18.29,longJump,jump
5,2008,18.97,longJump,jump
6,2008,18.79,longJump,jump
7,2008,15.92,longJump,jump
8,2008,15.61,longJump,jump
1,2012,14.17,longJump,jump
2,2012,13.73,longJump,jump
3,2012,13.76,longJump,jump
4,2012,14.16,longJump,jump
5,2012,13.84,longJump,jump
6,2012,13.74,longJump,jump
7,2012,14.16,longJump,jump
8,2012,12.88,longJump,jump
1,2016,14.9,longJump,jump
2,2016,18.18,longJump,jump
3,2016,17.7,longJump,jump
4,2016,18.17,longJump,jump
5,2016,19.43,longJump,jump
6,2016,19.47,longJump,jump
7,2016,19.39,longJump,jump
8,2016,19.46,longJump,jump
1,1996,21.93,tripleJump,jump
2,1996,20.03,tripleJump,jump
3,1996,19.49,tripleJump,jump
4,1996,19.11,tripleJump,jump
5,1996,19.47,tripleJump,jump
6,1996,20.59,tripleJump,jump
7,1996,19.52,tripleJump,jump
8,1996,20.91,tripleJump,jump
1,2000,17.83,tripleJump,jump
2,2000,17.87,tripleJump,jump
3,2000,17.4,tripleJump,jump
4,2000,17.68,tripleJump,jump
5,2000,16.79,tripleJump,jump
6,2000,17.94,tripleJump,jump
7,2000,17.55,tripleJump,jump
8,2000,19.09,tripleJump,jump
1,2004,18.73,tripleJump,jump
2,2004,20.25,tripleJump,jump
3,2004,21.9,tripleJump,jump
4,2004,22.05,tripleJump,jump
5,2004,20.48,tripleJump,jump
6,2004,20.48,tripleJump,jump
7,2004,21.09,tripleJump,jump
8,2004,20.97,tripleJump,jump
1,2008,17.5,tripleJump,jump
2,2008,17.18,tripleJump,jump
3,2008,18.88,tripleJump,jump
4,2008,19.53,tripleJump,jump
5,2008,19.35,tripleJump,jump
6,2008,19,tripleJump,jump
7,2008,17.75,tripleJump,jump
8,2008,17.89,tripleJump,jump
1,2012,20.93,tripleJump,jump
2,2012,21.2,tripleJump,jump
3,2012,17.38,tripleJump,jump
4,2012,17.89,tripleJump,jump
5,2012,19.84,tripleJump,jump
6,2012,19.65,tripleJump,jump
7,2012,19.46,tripleJump,jump
8,2012,20.09,tripleJump,jump
1,2016,19.32,tripleJump,jump
